model,imbalance_method,hidden_layer_sizes,alpha,learning_rate_init,dev_accuracy,dev_precision,dev_recall,dev_f1_score,dev_roc_auc,dev_pr_auc_average_precision,dev_TN,dev_FP,dev_FN,dev_TP,rank_dev_pr_auc
MLP,random_oversampling,"(8,)",0.0001,0.001,0.9608938547486033,0.7266881028938906,0.9186991869918699,0.8114901256732495,0.979346460131268,0.9227377181688359,2354,85,20,226,40
MLP,random_oversampling,"(8,)",0.01,0.0005,0.9631284916201117,0.7378640776699029,0.926829268292683,0.8216216216216217,0.9787147871478714,0.9227134958631814,2358,81,18,228,41
MLP,random_oversampling,"(8,)",0.001,0.0005,0.9623836126629423,0.7331189710610932,0.926829268292683,0.8186714542190305,0.9787714543812105,0.9225650824767715,2356,83,18,228,42
MLP,random_oversampling,"(8,)",0.0001,0.0005,0.9620111731843576,0.7307692307692307,0.926829268292683,0.8172043010752689,0.9787747877478775,0.922533118074906,2355,84,18,228,43
MLP,random_oversampling,"(8,)",0.01,0.001,0.9620111731843576,0.7337662337662337,0.9186991869918699,0.8158844765342961,0.979149791497915,0.9223092098486387,2357,82,20,226,44
MLP,random_oversampling,"(32,)",0.001,0.0005,0.9608938547486033,0.7296416938110749,0.9105691056910569,0.810126582278481,0.9778047780477804,0.9220823840075123,2356,83,22,224,45
MLP,random_oversampling,"(32,)",0.01,0.001,0.958659217877095,0.7142857142857143,0.9146341463414634,0.8021390374331551,0.977026436931036,0.9214087745220366,2349,90,21,225,46
MLP,random_oversampling,"(32,)",0.0001,0.001,0.9631284916201117,0.7441860465116279,0.9105691056910569,0.8190127970749543,0.9774314409810765,0.9202736007535797,2362,77,22,224,47
MLP,random_oversampling,"(16, 8)",0.01,0.001,0.9590316573556797,0.7207792207792207,0.9024390243902439,0.8014440433212996,0.9752030853641869,0.9157730173772927,2353,86,24,222,48
MLP,random_oversampling,"(16, 8)",0.0001,0.0005,0.9575418994413408,0.70625,0.9186991869918699,0.7985865724381626,0.978016446831135,0.9153329690612396,2345,94,20,226,49
MLP,random_oversampling,"(16, 8)",0.01,0.0005,0.9575418994413408,0.7075471698113207,0.9146341463414634,0.7978723404255319,0.977529775297753,0.9148888660476243,2346,93,21,225,50
MLP,random_oversampling,"(32,)",0.001,0.001,0.9564245810055866,0.7021943573667712,0.9105691056910569,0.7929203539823009,0.9747480808141414,0.913690224741569,2344,95,22,224,51
MLP,random_oversampling,"(32, 16)",0.001,0.0005,0.9597765363128492,0.724025974025974,0.9065040650406504,0.8050541516245487,0.9710830441637749,0.9134353614211326,2354,85,23,223,52
MLP,random_oversampling,"(16, 8)",0.001,0.0005,0.9605214152700187,0.7287581699346405,0.9065040650406504,0.8079710144927537,0.976039760397604,0.9132681124733081,2356,83,23,223,53
MLP,random_oversampling,"(32, 16)",0.001,0.001,0.9590316573556797,0.717948717948718,0.9105691056910569,0.8028673835125448,0.9726563932305989,0.9130754135952569,2351,88,22,224,54
MLP,random_oversampling,"(32, 16)",0.01,0.001,0.9579143389199255,0.7097791798107256,0.9146341463414634,0.7992895204262878,0.9730163968306349,0.9129824896552345,2347,92,21,225,55
MLP,random_oversampling,"(32, 16)",0.01,0.0005,0.9579143389199255,0.7084639498432602,0.9186991869918699,0.8,0.9735330686640199,0.9118775095321207,2346,93,20,226,56
MLP,random_oversampling,"(16, 8)",0.001,0.001,0.9672253258845438,0.7724137931034483,0.9105691056910569,0.835820895522388,0.9733714003806705,0.9117616821586934,2373,66,22,224,57
MLP,random_oversampling,"(32, 16)",0.0001,0.0005,0.9608938547486033,0.7296416938110749,0.9105691056910569,0.810126582278481,0.9718780521138545,0.9106328722902952,2356,83,22,224,58
MLP,random_oversampling,"(16, 8)",0.0001,0.001,0.9567970204841714,0.703125,0.9146341463414634,0.7950530035335689,0.9750814174808415,0.9078821455017131,2344,95,21,225,59
MLP,random_oversampling,"(32, 16)",0.0001,0.001,0.9601489757914339,0.7293729372937293,0.8983739837398373,0.8051001821493625,0.9712247122471225,0.9008492193796789,2357,82,25,221,60
